Date,AIEG,AIESH,Gaselwest,IMEA,IVEG,IVEKA,Imewo,Infrax West,Inter-Energa,Intergem,Iverlek,Ores Brabant wallon,Ores Est,Ores Hainaut,Ores Luxembourg,Ores Mouscron,Ores Namur,Ores Verviers,PBE,Regie de Wavre,Resa,Sibelga,Sibelgas
2015-01-31,302.78,60.73,632.63,757.34,681.92,716.36,612.48,617.45,628.9,683.7,695.66,329.08,268.07,305.22,219.67,347.49,275.39,406.62,587.49,215.53,367.62,594.105,771.7
2015-02-01,113.59,28.71,155.94,205.47,204.54,208.74,156.6,148.26,180.28,182.76,155.76,111.1,62.66,103.01,70.2,95.5,106.06,81.08,163.64,122.01,109.41,134.3,174.78
2015-02-02,488.08,345.18,838.54,269.56,277.1,276.85,667.1,787.04,263.23,557.12,546.67,788.14,115.48,857.04,366.16,498.09,716.46,201.84,520.35,699.28,320.54,606.465,657.59
2015-02-03,414.45,486.52,707.87,489.39,431.25,479.58,521.85,684.15,413.6,534.08,508.86,556.65,143.33,589.75,364.07,488.84,422.06,234.91,484.62,473.44,293.65,450.635,505.24
2015-02-04,939.24,1096.2,968.91,765.57,742.03,844.86,768.2,973.25,824.54,845.5,885.98,1038.72,424.32,1070.89,1008.14,634.03,1034.22,710.21,883.4,855.51,746.48,771.21,911.61
2015-02-05,656.45,636.25,700.97,428.34,434.2,445.84,531.74,755.44,318.85,421.17,457.65,461.15,295.47,501.84,768.24,412.11,605.01,517.75,365.7,457.04,474.33,391.095,452.41
2015-02-06,746.16,559.52,1094.94,950.96,947.04,962.27,927.73,1171.69,914.28,946.42,929.39,751.71,558.2,698.6,1000.8,634.24,772.36,881.4,875.86,703.86,791.9,722.43,850.68
2015-02-07,1249.95,1115.39,907.87,661.02,663.57,781.39,659.57,912.72,947.84,713.63,911.76,1203.89,792.48,1186.54,1302.6,541.34,1298.56,1247.37,1000.09,1094.73,1131.31,849.795,987.9
2015-02-08,504.77,456.4,673.7,511.36,553.6,638.4,559,723.39,527.2,530.14,602.19,579.27,273.57,594.79,324.19,388.74,519.65,437.8,587.69,626.39,451.36,492.53,553.99
2015-02-09,185.88,311.6,238.38,186.1,179.87,211.87,241.35,187.19,176.98,223.14,194.23,161.94,78.54,253.52,190.16,186.49,200.64,89.01,191.34,173.44,113.39,188.6,226.66
2015-02-10,152.89,148.87,176.99,159.54,160.51,209.37,138.35,192.52,206.77,128.18,168.97,133.59,126.7,129.77,158.98,82.59,136.14,141.75,160.8,144.96,135.33,154.615,180.33
2015-02-11,755.64,396.66,233.98,204.76,198.55,261.2,154.53,182.33,574.8,217.51,248.39,296.9,840.72,267.46,762.85,133.61,623.39,1048.08,305.15,441.56,845.98,263.63,303.03
2015-02-12,1337.76,1151.19,554.7,758.25,687.07,920.93,364.33,401.12,1163.51,674.21,1093.99,1229.3,909.03,1120.78,762,467.2,1376.89,1364.09,1113.56,1212.49,1286.77,972.635,1116.64
2015-02-13,1333.24,1142.13,1151.34,1059.49,1066.62,1137.62,969.24,1133.19,1176.66,1075.22,1189.56,1284.35,976.02,1223.62,1135.97,701.68,1363.55,1350.91,1157.03,1257.64,1247.52,1025.85,1191.14
2015-02-14,414.98,366.26,442.24,398.5,384.85,433.49,389.66,478.96,517.03,396.43,437.79,407.15,363.62,385.62,281.45,272.42,379.61,477.42,456.43,385.45,414.4,420.07,469.02
2015-02-15,1239.97,884.83,1233.24,1146.08,1137.94,1223.18,1004.54,1266.51,1252.61,1083.34,1167.97,1121.72,903.28,1003.99,1184.47,853.02,1091.48,1407.49,1125.78,1193.77,1264.49,1010.455,1180.24
2015-02-16,922.53,378.18,469.77,762.51,765.9,936.32,394.85,521.13,1107.69,486.23,743.49,565.62,711.64,403.17,317.46,223.08,559.99,1230.7,877.17,740.52,1172.57,681.43,867.67
2015-02-17,168.35,236.6,620.65,451.3,459.89,387.82,593.85,690.94,190.94,504.55,345.01,216.55,161.48,283.61,166.72,426.73,151.97,165.23,229.85,202.71,155.68,271.855,319.71
2015-02-18,665.08,842.3,1020.42,769.83,840.11,506.28,1042.52,1262.95,366.83,724.32,612.04,571.34,508.5,696.16,481.11,445.26,642.47,704.68,434.95,597.17,647.98,961.815,1114.52
2015-02-19,801.39,365.29,1042.7,736.96,762.4,747.67,927.57,1118.52,790.14,757.42,687.4,652.62,727.8,557.35,340.36,516.76,559.67,1101.4,655.03,684,953.31,663.02,772.46
2015-02-20,166.45,143.15,151.81,114.07,101.45,112.67,116.81,133.43,147.8,121.93,131.39,96.99,198.36,112.37,165.06,89.67,133.92,209.16,140.38,122.31,198.41,118.01,144.07
2015-02-21,634.35,632.95,726.69,567.75,566.35,606.27,546.29,680.26,646.37,635.48,635.47,609.28,337.52,627.99,435.09,402.34,572.04,500.98,682.99,521.66,553.63,567.855,696.42
2015-02-22,878.39,585.43,1328.19,1196.65,1145.94,924.81,1119.65,1343.24,634.96,1173.39,1050.54,956.69,501.49,1012.19,653.65,836.94,810.34,840.11,786.68,846.89,788.09,996.33,1177.95
2015-02-23,608.49,680.46,1039.73,811.25,804.36,788.16,899.5,1102.16,616.31,887.74,793.7,694.35,337.35,699.33,323.72,647.84,583.15,552.45,691.38,584.47,580.38,695.62,808.45
2015-02-24,664.46,649.68,884.25,630.98,670.13,613.82,767.74,1013.9,613.98,635.08,569.85,545.02,277.37,649.11,360.94,595.42,603.98,537.59,581.01,560.64,630.96,445.03,507.38
2015-02-25,274.5,156.08,314.64,411.17,404.94,476.69,334.16,355.67,481.86,361.87,387.13,235.77,290.76,200.17,247.69,164.28,207.47,365.65,387.35,284.5,326.25,352.01,419.94
2015-02-26,500.53,349.68,286.14,344,318.81,367.91,244.58,248.16,526.3,331.9,412.66,386.22,392.96,343.59,318.07,168.72,399.89,562.07,453.41,422.42,583.31,474.69,533.63
2015-02-27,782.53,889.8,1298.44,1148.05,1165.04,1154.53,1085.91,1300.18,874.3,1125.49,1165.88,1036.23,395.1,1127.84,486.78,937.61,859.37,597.1,1012.45,981.74,680.95,1003.845,1144.22
2015-02-28,1318.89,1241.62,1181.3,1115.06,1070.57,1164.22,1020.11,1090.07,1312.67,1114.49,1162.62,1153.15,1051.7,1226.78,1448.29,791.13,1259.29,1439.63,1137.14,1224.61,1331.46,1054.65,1195.84
2015-03-01,709.39,773.920000000001,1070.77,899.96,916.14,915.13,1067.13,1202.2,857.08,914.39,867.37,756.82,481.41,735.82,540.39,566.51,722.16,719.24,794.94,798.68,721.72,799.56,914.47
